key,zh-cn,zh-mo,en,
pop.1,"遥不可及的现在。","遙不可及的現在。","The unreachable present.",
pop.2,"婆娑大梦永远不会清醒。","婆娑大夢永遠不會清醒。","The world of dreams that never awaken.",
pop.3,"洛希。","洛希。","Roche.",
pop.4,"我不常提起他，\n但我时常想念他。","我不常提起他，\n但我時常想念他。","I don't mention him often,\nbut I think of him always.",
pop.5,"地球是月球的月球。","地球是月球的月球。","Earth is the moon of the moon.",
pop.6,"夜雨冻，\n雨点透射到照片中。","夜雨凍，\n雨點透射到照片中。","Night rain freezes, \nraindrops penetrate the photo.",
pop.7,"可我的心，我的家，\n在哪里，在哪里呢我的朋友？","可我的心，我的家，\n在哪裡，在哪裡呢我的朋友？","But my heart, my home, \nwhere are they, where are they my friend?",
pop.8,"静静地听，有个声音在说爱你。","靜靜地聽，有個聲音在說愛你。","Listen quietly, there is a voice saying I love you.",
pop.9,"保持你的决心！","保持你的決心！","Stay determined!",
pop.10,"走在风中，\n今天阳光，\n突然好温柔。","走在風中，\n今天陽光，\n突然好溫柔。","Walking in the wind,\ntoday's sunshine\nis suddenly so gentle.",
pop.11,"月亮绕地球，\n地球绕着太阳走。","月亮繞地球，\n地球繞着太陽走。","The moon circles the earth,\nthe earth circles the sun.",
pop.12,"我以为世界是座宁静的宇宙。","我以為世界是座寧靜的宇宙。","I thought the world was a quiet universe.",
pop.13,"城市的花园没有花，\n广播里的声音嘶哑，\n如果真有这天的话...","城市的花園沒有花，\n廣播裡的聲音嘶啞，\n如果真有這天的話...","The city's garden has no flowers,\nthe voice on the radio is hoarse,\nif such a day really comes...",
pop.14,"白鹭兰：思念将追随你进入梦乡。","白鷺蘭：思念將追隨你進入夢鄉。","White Egret Orchid: Longing will follow you into dreams.",
pop.15,"九霄一曲，人间白首。","九霄一曲，人間白首。","A song in the ninth heaven, white heads in the mortal world.",
pop.16,"当时太阳光芒破碎散成星空。","當時太陽光芒破碎散成星空。","When the sun's rays shattered into starlight.",
pop.17,"就把誓言带走，\n换承诺不回。","就把誓言帶走，\n換承諾不回。","Take away the vows,\nexchange promises that won't return.",
pop.18,"笼中鸟。","籠中鳥。","Caged bird.",
pop.19,"宇宙尽头，一片无穷星海。","宇宙盡頭，一片無窮星海。","At the end of the universe, an infinite sea of stars.",
pop.20,"高等的生灵啊，这些话只说给你听。","高等的生靈啊，這些話只說給你聽。","Higher beings, these words are spoken only to you.",
pop.21,"我太骄傲，太顽固，或者有别的心结。","我太驕傲，太頑固，或者有別的心結。","I am too proud, too stubborn, or have other knots in my heart.",
pop.22,"二向无常，遇而无往。","二向無常，遇而無往。","Uncertainty in both directions, meeting but not going.",
pop.23,"为坠落的孩子命名吧。","為墜落的孩子命名吧。","Name the fallen child.",
pop.24,"这座山既叫蔚蓝，也叫自己。","這座山既叫蔚藍，也叫自己。","This mountain is called both azure and itself.",
pop.25,"一等就是一个宇宙。","一等就是一個宇宙。","Waiting is a universe.",
pop.26,"晚星就像你的眼睛杀人又放火。","晚星就像你的眼睛殺人又放火。","The evening star is like your eyes, killing and setting fires.",
pop.27,"那一夜无言无语星空，\n为什么静静看我泪流。","那一夜無言無語星空，\n為什麼靜靜看我淚流。","That silent starry sky that night,\nwhy did it quietly watch my tears flow.",
pop.28,"Wubba labba dub dub.","Wubba labba dub dub.","Wubba lubba dub dub.",
pop.29,"你总是微笑着你总是不开口。","你總是微笑著你總是不開口。","You always smile, you never speak.",
pop.30,"世界被你掌握。","世界被你掌握。","The world is in your hands.",
pop.31,"猫说：","貓說：","The cat says:",
pop.32,"美丽新世界。","美麗新世界。","Brave New World.",
pop.33,"细数繁星闪烁，细数此生奔波。","細數繁星閃爍，細數此生奔波。","Counting the twinkling stars, counting the rushing of this life.",
pop.34,"原来所有所得所获不如一夜的星空。","原來所有所得所獲不如一夜的星空。","All that was gained and achieved pales before one night's starry sky.",
pop.35,"泪水之城。","淚水之城。","City of Tears.",
pop.36,"要是我们失败了怎么办？","要是我們失敗了怎麼辦？","What if we fail?",
pop.37,"那我也能接受。","那我也能接受。","Then I can accept that.",
pop.38,"你能接受？","你能接受？","You can accept it?",
pop.39,"当然了。","當然了。","Of course.",
pop.40,"每一段旅程都有终点。","每一段旅程都有終點。","Every journey has an end.",
pop.41,"送你一朵小红花。","送你一朵小紅花。","Here's a little red flower for you.",
pop.42,"没有可以思考的心智，","沒有可以思考的心智，","No mind to think,",
pop.43,"没有可以屈从的意志，","沒有可以屈從的意志，","No will to break,",
pop.44,"没有为苦难哭泣的声音。","沒有為苦難哭泣的聲音。","No voice to cry suffering.",
pop.45,"笑一笑，\n孤枕难眠的夜晚我们一起倒数。","笑一笑，\n孤枕難眠的夜晚我們一起倒數。","Smile,\nin sleepless nights on a lonely pillow we count down together.",
pop.46,"不知道从什么时候开始，","不知道從什麼時候開始，","I don't know when it started,",
pop.47,"每个夏天，","每個夏天，","every summer,",
pop.48,"都有一罐凤梨罐头过期。","都有一罐鳳梨罐頭過期。","a can of pineapple expires.",
pop.49,"流浪。","流浪。","Wandering.",
pop.50,"如意如意，随我心意。","如意如意，隨我心意。","As I wish, as I wish, according to my heart's desire.",


