key,zh-cn,zh-mo,en,
web.title,"当星星忘记看我的时候","當星星忘記看我的時候","Dissociative Disorder",

web.halley.hint,"时间就是最巨大的谎。","時間就是最巨大的謊。","Time lies the greatest.",
web.halley.success,"牧阳，多笑笑。","牧陽，多笑笑。","Mu Yang, smile more.",
web.halley.failure.1,"再想想。","再想想。","Think again.",
web.halley.failure.2,"放松，别太紧张。","放鬆，別太緊張。","Relax, don't be too nervous.",
web.halley.failure.3,"再试一试，会找到的。","再試一試，會找到的。","Try again, you'll find it.",
web.halley.failure.4,"放轻松。","放輕鬆。","Relax.",
web.halley.failure.5,"抬头看看，出去走走，喘口气。","抬頭看看，出去走走，喘口氣。","Look up, go out for a walk, take a breath.",
web.halley.attempts,"尝试次数: {count}","嘗試次數: {count}","Attempts: {count}",

web.steam.title,"在做了在做了！面包会有的！","在做了在做了！麵包會有的！","Coming...soon...?",

web.socialmedia.title,"社交媒体","社交媒體","Social Media",

web.rainoflove.title,"雨爱戏剧社","雨愛戲劇社","Rain of Love"
web.rainoflove.intro.1,"我们是雨爱，一帮学生在一起用爱发电的小团队。","我們是雨愛，一幫學生在一起用愛發電的小團隊。","We are Rain of Love, a small team of students generating power with love together.",
web.rainoflove.intro.2,"如果你对我们故事有兴趣，欢迎你的加入！","如果你對我們故事有興趣，歡迎你的加入！","If you are interested in our story, welcome to join us!",
web.rainoflove.members,"成员:","成員:","Members:",
web.rainoflove.member.1,"牧阳","牧陽","Mu Yang",
web.rainoflove.member.2,"叶星语","葉星語","Ye Xingyu",
web.rainoflove.member.3,"第五律","第五律","Diwu Lv",
web.rainoflove.member.4,"萱树落","萱樹落","Xuan Shuluo",
web.rainoflove.member.5,"点点","點點","Dotty",
web.rainoflove.email,"如果你想加入我们，欢迎发送邮件到:","如果你想加入我們，歡迎發送郵件到:","If you want to join us, please send an email to:",
web.rainoflove.email.address,"mortyestxie@gmail.com","mortyestxie@gmail.com","mortyestxie@gmail.com",
